Plot Title: 10169174,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
254,4/12/2019 3:00,0.232,0,2.58,,,,,
255,4/12/2019 9:00,0.232,0,2.58,,,,,
256,4/12/2019 15:00,0.232,0,2.58,,,,,
257,4/12/2019 21:00,0.232,0,2.58,,,,,
258,4/13/2019 3:00,0.232,0,2.58,,,,,
259,4/13/2019 9:00,0.232,0,2.58,,,,,
260,4/13/2019 15:00,0.232,0,2.58,,,,,
261,4/13/2019 21:00,0.232,0,2.58,,,,,
262,4/14/2019 3:00,0.232,0,2.58,,,,,
263,4/14/2019 9:00,0.232,0,2.58,,,,,
264,4/14/2019 15:00,0.232,0,2.58,,,,,
265,4/14/2019 21:00,0.232,0,2.58,,,,,
266,4/15/2019 3:00,0.232,0,2.58,,,,,
267,4/15/2019 9:00,0.232,0,2.58,,,,,
268,4/15/2019 15:00,0.232,0,2.58,,,,,
269,4/15/2019 21:00,0.232,0,2.58,,,,,
270,4/16/2019 3:00,0.232,0,2.58,,,,,
271,4/16/2019 9:00,0.232,0,2.58,,,,,
272,4/16/2019 15:00,0.232,0,2.58,,,,,
273,4/16/2019 21:00,0.232,0,2.58,,,,,
274,4/17/2019 3:00,0.232,0,2.58,,,,,
275,4/17/2019 9:00,0.232,0,2.58,,,,,
276,4/17/2019 15:00,0.232,0,2.58,,,,,
277,4/17/2019 21:00,0.232,0,2.58,,,,,
278,4/18/2019 3:00,0.232,0,2.58,,,,,
279,4/18/2019 9:00,0.343,0,2.58,,,,,
280,4/18/2019 15:00,0.453,0,2.58,,,,,
281,4/18/2019 21:00,0.453,0,2.58,,,,,
282,4/19/2019 3:00,1.656,0,2.58,,,,,
283,4/19/2019 9:00,2.624,136,2.58,,,,,
284,4/19/2019 15:00,4.934,87,2.58,,,,,
285,4/19/2019 21:00,2.517,0,2.58,,,,,
286,4/20/2019 3:00,2.303,0,2.58,,,,,
287,4/20/2019 9:00,2.943,168,2.58,,,,,
288,4/20/2019 15:00,3.155,101,2.6,,,,,
289,4/20/2019 21:00,1.764,0,2.58,,,,,
290,4/21/2019 3:00,1.33,0,2.58,,,,,
291,4/21/2019 9:00,2.195,192,2.58,,,,,
292,4/21/2019 15:00,5.655,608,2.57,,,,,
293,4/21/2019 21:00,2.195,0,2.58,,,,,
294,4/22/2019 3:00,2.195,0,2.58,,,,,
