"Plot Title: 10166272"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Stopped","End Of File"
162,09/04/21 12:36:32 AM,13.365,0.0,2.79,,,,,
163,09/04/21 06:36:32 AM,12.690,204.5,2.79,,,,,
164,09/04/21 12:36:32 PM,22.142,3272.2,2.81,,,,,
165,09/04/21 06:36:32 PM,18.331,0.0,2.81,,,,,
166,09/05/21 12:36:32 AM,14.709,0.0,2.81,,,,,
167,09/05/21 06:36:32 AM,14.038,43.1,2.79,,,,,
168,09/05/21 12:36:32 PM,23.196,4650.0,2.81,,,,,
169,09/05/21 06:36:32 PM,19.472,0.0,2.83,,,,,
170,09/06/21 12:36:32 AM,15.378,0.0,2.79,,,,,
171,09/06/21 06:36:32 AM,13.942,64.6,2.79,,,,,
172,09/06/21 12:36:32 PM,25.610,5166.7,2.81,,,,,
173,09/06/21 06:36:32 PM,20.329,21.5,2.81,,,,,
174,09/07/21 12:36:32 AM,16.713,0.0,2.81,,,,,
175,09/07/21 06:36:32 AM,17.570,247.6,2.81,,,,,
176,09/07/21 12:36:32 PM,28.853,5166.7,2.85,,,,,
177,09/07/21 06:36:32 PM,20.996,0.0,2.81,,,,,
178,09/08/21 12:36:32 AM,17.665,0.0,2.81,,,,,
179,09/08/21 06:36:32 AM,15.282,75.3,2.79,,,,,
180,09/08/21 12:36:32 PM,25.125,5166.7,2.81,,,,,
181,09/08/21 06:36:32 PM,19.662,0.0,2.81,,,,,
182,09/09/21 12:36:32 AM,16.427,0.0,2.81,,,,,
183,09/09/21 06:36:32 AM,15.569,183.0,2.79,,,,,
184,09/09/21 12:36:32 PM,21.664,4822.3,2.81,,,,,
185,09/09/21 06:36:32 PM,18.331,53.8,2.81,,,,,
186,09/10/21 12:36:32 AM,15.473,0.0,2.79,,,,,
187,09/10/21 06:36:32 AM,13.173,21.5,2.79,,,,,
188,09/10/21 12:36:32 PM,12.787,183.0,2.79,,,,,
189,09/10/21 06:36:32 PM,12.207,0.0,2.77,,,,,
190,09/11/21 12:36:32 AM,11.334,0.0,2.77,,,,,
191,09/11/21 06:36:32 AM,7.682,21.5,2.75,,,,,
192,09/11/21 12:36:32 PM,14.900,4650.0,2.77,,,,,
193,09/11/21 06:36:32 PM,14.230,0.0,2.79,,,,,
194,09/12/21 12:36:32 AM,11.528,0.0,2.77,,,,,
195,09/12/21 06:36:32 AM,10.651,64.6,2.75,,,,,
196,09/12/21 12:36:32 PM,16.523,8266.7,2.77,,,,,
197,09/12/21 06:36:32 PM,13.461,0.0,2.77,,,,,
198,09/13/21 12:36:32 AM,10.259,0.0,2.75,,,,,
199,09/13/21 06:36:32 AM,9.472,258.3,2.75,,,,,
200,09/13/21 12:36:32 PM,15.664,10333.4,2.77,,,,,
201,09/13/21 06:36:32 PM,13.076,0.0,2.77,,,,,
202,09/14/21 12:36:32 AM,10.259,0.0,2.75,,,,,
203,09/14/21 06:36:32 AM,10.063,21.5,2.75,,,,,
204,09/14/21 12:36:32 PM,19.377,5166.7,2.79,,,,,
205,09/14/21 06:36:32 PM,15.664,0.0,2.77,,,,,
206,09/15/21 12:36:32 AM,12.207,0.0,2.77,,,,,
207,09/15/21 06:36:32 AM,11.236,118.4,2.75,,,,,
208,09/15/21 12:36:32 PM,17.570,7577.8,2.79,,,,,
209,09/15/21 06:36:32 PM,12.401,0.0,2.77,,,,,
210,09/16/21 12:36:32 AM,7.280,0.0,2.74,,,,,
211,09/16/21 06:36:32 AM,4.519,21.5,2.74,,,,,
212,09/16/21 12:36:32 PM,15.855,5166.7,2.77,,,,,
213,09/16/21 06:36:32 PM,12.497,0.0,2.77,,,,,
214,09/17/21 12:36:32 AM,11.916,0.0,2.75,,,,,
215,09/17/21 06:36:32 AM,9.965,129.2,2.74,,,,,
216,09/17/21 12:36:32 PM,18.045,4994.5,2.79,,,,,
217,09/17/21 06:36:32 PM,14.613,0.0,2.79,,,,,
218,09/18/21 12:36:32 AM,13.942,0.0,2.77,,,,,
219,09/18/21 06:36:32 AM,7.882,0.0,2.75,,,,,
220,09/18/21 12:36:32 PM,8.481,366.0,2.75,,,,,
221,09/18/21 06:36:32 PM,7.682,0.0,2.74,,,,,
222,09/19/21 12:36:32 AM,6.268,0.0,2.72,,,,,
223,09/19/21 06:36:32 AM,5.655,10.8,2.72,,,,,
224,09/19/21 12:36:32 PM,7.179,570.5,2.74,,,,,
225,09/19/21 06:36:32 PM,7.582,0.0,2.74,,,,,
226,09/20/21 12:36:32 AM,7.179,0.0,2.72,,,,,
227,09/20/21 06:36:32 AM,4.623,21.5,2.72,,,,,
228,09/20/21 12:36:32 PM,11.431,4822.3,2.74,,,,,
229,09/20/21 06:36:32 PM,10.357,0.0,2.74,,,,,
230,09/21/21 12:36:32 AM,8.879,0.0,2.74,,,,,
231,09/21/21 06:36:32 AM,9.571,21.5,2.75,,,,,
232,09/21/21 12:36:32 PM,16.999,5166.7,2.77,,,,,
233,09/21/21 06:36:32 PM,14.517,0.0,2.77,,,,,
234,09/22/21 12:36:32 AM,12.110,0.0,2.75,,,,,
235,09/22/21 06:36:32 AM,11.625,32.3,2.75,,,,,
236,09/22/21 12:36:32 PM,14.804,10677.8,2.77,,,,,
237,09/22/21 06:36:32 PM,11.625,0.0,2.75,,,,,
238,09/23/21 12:36:32 AM,8.779,0.0,2.75,,,,,
239,09/23/21 06:36:32 AM,7.782,21.5,2.74,,,,,
240,09/23/21 12:36:32 PM,16.903,10333.4,2.77,,,,,
241,09/23/21 06:36:32 PM,13.846,0.0,2.77,,,,,
242,09/24/21 12:36:32 AM,12.207,0.0,2.77,,,,,
243,09/24/21 06:36:32 AM,12.304,10.8,2.77,,,,,
244,09/24/21 12:36:32 PM,20.996,8266.7,2.79,,,,,
245,09/24/21 06:36:32 PM,17.475,0.0,2.79,,,,,
246,09/25/21 12:36:32 AM,14.421,0.0,2.79,,,,,
247,09/25/21 06:36:32 AM,13.654,43.1,2.79,,,,,
248,09/25/21 12:36:32 PM,21.664,6544.5,2.81,,,,,
249,09/25/21 06:36:32 PM,15.378,0.0,2.79,,,,,
250,09/26/21 12:36:32 AM,12.207,0.0,2.77,,,,,
251,09/26/21 06:36:32 AM,10.553,10.8,2.75,,,,,
252,09/26/21 12:36:32 PM,18.901,5511.1,2.81,,,,,
253,09/26/21 06:36:32 PM,14.325,0.0,2.79,,,,,
254,09/27/21 12:36:32 AM,11.041,0.0,2.75,,,,,
255,09/27/21 06:36:32 AM,11.334,10.8,2.75,,,,,
256,09/27/21 12:36:32 PM,8.082,355.2,2.75,,,,,
257,09/27/21 06:36:32 PM,6.268,0.0,2.74,,,,,
258,09/28/21 12:36:32 AM,5.037,0.0,2.72,,,,,
259,09/28/21 06:36:32 AM,5.037,86.1,2.72,,,,,
260,09/28/21 12:36:32 PM,5.962,990.3,2.72,,,,,
261,09/28/21 06:36:32 PM,5.450,0.0,2.72,,,,,
262,09/29/21 12:36:32 AM,4.207,0.0,2.72,,,,,
263,09/29/21 06:36:32 AM,3.683,129.2,2.72,,,,,
264,09/29/21 12:36:32 PM,10.553,4822.3,2.74,,,,,
265,09/29/21 06:36:32 PM,7.582,0.0,2.74,,,,,
266,09/30/21 12:36:32 AM,7.782,0.0,2.74,,,,,
267,09/30/21 06:36:32 AM,7.983,10.8,2.74,,,,,
268,09/30/21 12:36:32 PM,14.325,4650.0,2.75,,,,,
269,09/30/21 06:36:32 PM,12.207,0.0,2.75,,,,,
270,10/01/21 12:36:32 AM,11.041,0.0,2.75,,,,,
271,10/01/21 06:36:32 AM,9.176,32.3,2.75,,,,,
272,10/01/21 12:36:32 PM,14.709,9644.5,2.77,,,,,
273,10/01/21 06:36:32 PM,11.625,0.0,2.75,,,,,
274,10/02/21 12:36:32 AM,8.978,0.0,2.75,,,,,
275,10/02/21 06:36:32 AM,8.581,32.3,2.75,,,,,
276,10/02/21 12:36:32 PM,16.523,5166.7,2.77,,,,,
277,10/02/21 06:36:32 PM,11.819,0.0,2.75,,,,,
278,10/03/21 12:36:32 AM,9.669,0.0,2.74,,,,,
279,10/03/21 06:36:32 AM,7.983,10.8,2.75,,,,,
280,10/03/21 12:36:32 PM,16.237,5166.7,2.77,,,,,
281,10/03/21 06:36:32 PM,11.916,0.0,2.75,,,,,
282,10/04/21 12:36:32 AM,10.063,0.0,2.75,,,,,
283,10/04/21 06:36:32 AM,11.139,96.9,2.75,,,,,
284,10/04/21 12:36:32 PM,14.996,2411.1,2.79,,,,,
285,10/04/21 06:36:32 PM,11.722,0.0,2.75,,,,,
286,10/05/21 12:36:32 AM,10.063,0.0,2.75,,,,,
287,10/05/21 06:36:32 AM,8.879,64.6,2.75,,,,,
288,10/05/21 12:36:32 PM,12.883,2238.9,2.77,,,,,
289,10/05/21 06:36:32 PM,6.370,0.0,2.74,,,,,
290,10/06/21 12:36:32 AM,3.893,0.0,2.74,,,,,
291,10/06/21 06:36:32 AM,2.195,32.3,2.72,,,,,
292,10/06/21 12:36:32 PM,5.860,1722.2,2.72,,,,,
293,10/06/21 06:36:32 PM,3.578,0.0,2.72,,,,,
294,10/07/21 12:36:32 AM,2.303,0.0,2.70,,,,,
295,10/07/21 06:36:32 AM,2.303,10.8,2.70,,,,,
296,10/07/21 12:36:32 PM,9.866,5338.9,2.72,,,,,
297,10/07/21 06:36:32 PM,7.179,0.0,2.74,,,,,
298,10/08/21 12:36:32 AM,4.207,0.0,2.72,,,,,
299,10/08/21 06:36:32 AM,3.998,43.1,2.72,,,,,
300,10/08/21 12:36:32 PM,7.682,2497.2,2.74,,,,,
301,10/08/21 06:36:32 PM,5.552,0.0,2.72,,,,,
302,10/09/21 12:36:32 AM,3.261,0.0,2.72,,,,,
303,10/09/21 06:36:32 AM,2.303,10.8,2.70,,,,,
304,10/09/21 12:36:32 PM,10.161,7233.4,2.72,,,,,
305,10/09/21 06:36:32 PM,7.079,0.0,2.72,,,,,
306,10/10/21 12:36:32 AM,6.877,0.0,2.72,,,,,
307,10/10/21 06:36:32 AM,6.370,0.0,2.72,,,,,
308,10/10/21 12:36:32 PM,5.347,2497.2,2.72,,,,,
309,10/10/21 06:36:32 PM,2.943,0.0,2.70,,,,,
310,10/11/21 12:36:32 AM,1.112,0.0,2.68,,,,,
311,10/11/21 06:36:32 AM,0.674,0.0,2.68,,,,,
312,10/11/21 12:36:32 PM,1.112,1377.8,2.68,,,,,
313,10/11/21 06:36:32 PM,1.112,0.0,2.68,,,,,
314,10/12/21 12:36:32 AM,-0.325,0.0,2.67,,,,,
315,10/12/21 06:36:32 AM,-0.774,21.5,2.68,,,,,
316,10/12/21 12:36:32 PM,2.303,5166.7,2.68,,,,,
317,10/12/21 06:36:32 PM,2.195,0.0,2.68,,,,,
318,10/13/21 12:36:32 AM,2.088,0.0,2.68,,,,,
319,10/13/21 06:36:32 AM,0.674,10.8,2.68,,,,,
320,10/13/21 12:36:32 PM,3.155,2325.0,2.70,,,,,
321,10/13/21 06:36:32 PM,2.624,0.0,2.70,,,,,
322,10/14/21 12:36:32 AM,2.837,0.0,2.70,,,,,
323,10/14/21 06:36:32 AM,2.730,10.8,2.70,,,,,
324,10/14/21 12:36:32 PM,5.244,753.5,2.70,,,,,
325,10/14/21 06:36:32 PM,4.727,0.0,2.72,,,,,
326,10/15/21 12:36:32 AM,4.311,0.0,2.72,,,,,
327,10/15/21 06:36:32 AM,3.893,10.8,2.72,,,,,
328,10/15/21 12:36:32 PM,8.978,4822.3,2.74,,,,,
329,10/15/21 06:36:32 PM,7.381,0.0,2.72,,,,,
330,10/16/21 12:36:32 AM,6.674,0.0,2.72,,,,,
331,10/16/21 06:36:32 AM,6.978,10.8,2.72,,,,,
332,10/16/21 12:36:32 PM,13.076,4650.0,2.75,,,,,
