"Plot Title: 10169129"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Coupler Detached","End Of File"
354,10/21/21 06:36:32 PM,9.571,0.0,2.79,,,,,
355,10/22/21 12:36:32 AM,5.347,0.0,2.75,,,,,
356,10/22/21 06:36:32 AM,4.519,0.0,2.77,,,,,
357,10/22/21 12:36:32 PM,4.727,32.3,2.77,,,,,
358,10/22/21 06:36:32 PM,4.311,0.0,2.77,,,,,
359,10/23/21 12:36:32 AM,3.893,0.0,2.75,,,,,
360,10/23/21 06:36:32 AM,3.998,0.0,2.75,,,,,
361,10/23/21 12:36:32 PM,5.655,301.4,2.75,,,,,
362,10/23/21 06:36:32 PM,5.655,0.0,2.75,,,,,
363,10/24/21 12:36:32 AM,5.037,0.0,2.75,,,,,
364,10/24/21 06:36:32 AM,5.347,0.0,2.75,,,,,
365,10/24/21 12:36:32 PM,5.037,139.9,2.75,,,,,
366,10/24/21 06:36:32 PM,2.837,0.0,2.75,,,,,
367,10/25/21 12:36:32 AM,2.517,0.0,2.75,,,,,
368,10/25/21 06:36:32 AM,2.517,0.0,2.75,,,,,
369,10/25/21 12:36:32 PM,3.472,226.0,2.75,,,,,
370,10/25/21 06:36:32 PM,3.155,0.0,2.75,,,,,
371,10/26/21 12:36:32 AM,2.837,0.0,2.75,,,,,
372,10/26/21 06:36:32 AM,2.517,0.0,2.74,,,,,
373,10/26/21 12:36:32 PM,4.934,96.9,2.74,,,,,
374,10/26/21 06:36:32 PM,5.141,0.0,2.75,,,,,
375,10/27/21 12:36:32 AM,6.268,0.0,2.75,,,,,
376,10/27/21 06:36:32 AM,3.998,0.0,2.75,,,,,
377,10/27/21 12:36:32 PM,5.244,462.9,2.75,,,,,
378,10/27/21 06:36:32 PM,5.141,0.0,2.75,,,,,
379,10/28/21 12:36:32 AM,7.882,0.0,2.77,,,,,
380,10/28/21 06:36:32 AM,9.768,0.0,2.77,,,,,
381,10/28/21 12:36:32 PM,11.236,861.1,2.79,,,,,
382,10/28/21 06:36:32 PM,11.334,0.0,2.79,,,,,
383,10/29/21 12:36:32 AM,10.846,0.0,2.79,,,,,
384,10/29/21 06:36:32 AM,9.768,0.0,2.77,,,,,
385,10/29/21 12:36:32 PM,7.782,258.3,2.79,,,,,
386,10/29/21 06:36:32 PM,7.079,0.0,2.77,,,,,
387,10/30/21 12:36:32 AM,4.831,0.0,2.75,,,,,
388,10/30/21 06:36:32 AM,3.261,0.0,2.75,,,,,
389,10/30/21 12:36:32 PM,4.415,861.1,2.77,,,,,
390,10/30/21 06:36:32 PM,2.943,0.0,2.75,,,,,
391,10/31/21 12:36:32 AM,1.656,0.0,2.75,,,,,
392,10/31/21 06:36:32 AM,2.303,0.0,2.75,,,,,
393,10/31/21 12:36:32 PM,4.311,968.8,2.75,,,,,
394,10/31/21 06:36:32 PM,3.261,0.0,2.75,,,,,
395,11/01/21 12:36:32 AM,3.367,0.0,2.75,,,,,
396,11/01/21 06:36:32 AM,5.141,0.0,2.75,,,,,
397,11/01/21 12:36:32 PM,5.757,279.9,2.75,,,,,
398,11/01/21 06:36:32 PM,5.962,0.0,2.75,,,,,
399,11/02/21 12:36:32 AM,5.860,0.0,2.75,,,,,
