"Plot Title: 10166321"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
276,08/27/14 09:00:00 AM,23.966,7577.8,2.95,,,,
277,08/27/14 03:00:00 PM,21.473,2066.7,2.95,,,,
278,08/27/14 09:00:00 PM,16.427,0.0,2.95,,,,
279,08/28/14 03:00:00 AM,14.709,0.0,2.95,,,,
280,08/28/14 09:00:00 AM,22.429,7233.4,2.95,,,,
281,08/28/14 03:00:00 PM,19.948,1980.6,2.95,,,,
282,08/28/14 09:00:00 PM,14.613,0.0,2.95,,,,
283,08/29/14 03:00:00 AM,13.173,0.0,2.95,,,,
284,08/29/14 09:00:00 AM,20.329,8611.2,2.93,,,,
285,08/29/14 03:00:00 PM,19.187,5166.7,2.95,,,,
286,08/29/14 09:00:00 PM,12.690,0.0,2.93,,,,
287,08/30/14 03:00:00 AM,12.497,0.0,2.93,,,,
288,08/30/14 09:00:00 AM,12.594,3616.7,2.93,,,,
289,08/30/14 03:00:00 PM,13.269,3616.7,2.93,,,,
290,08/30/14 09:00:00 PM,10.651,0.0,2.91,,,,
291,08/31/14 03:00:00 AM,9.373,0.0,2.91,,,,
292,08/31/14 09:00:00 AM,13.558,6544.5,2.93,,,,
293,08/31/14 03:00:00 PM,14.230,2755.6,2.93,,,,
294,08/31/14 09:00:00 PM,9.965,0.0,2.89,,,,
295,09/01/14 03:00:00 AM,8.978,0.0,2.91,,,,
296,09/01/14 09:00:00 AM,15.091,5338.9,2.91,,,,
297,09/01/14 03:00:00 PM,17.189,1980.6,2.93,,,,
298,09/01/14 09:00:00 PM,12.401,0.0,2.91,,,,
299,09/02/14 03:00:00 AM,11.041,0.0,2.91,,,,
300,09/02/14 09:00:00 AM,16.427,5338.9,2.91,,,,
301,09/02/14 03:00:00 PM,17.094,3272.2,2.93,,,,
302,09/02/14 09:00:00 PM,11.041,0.0,2.91,,,,
303,09/03/14 03:00:00 AM,7.682,0.0,2.91,,,,
304,09/03/14 09:00:00 AM,11.528,6544.5,2.91,,,,
305,09/03/14 03:00:00 PM,13.558,1894.5,2.93,,,,
306,09/03/14 09:00:00 PM,9.176,0.0,2.91,,,,
307,09/04/14 03:00:00 AM,7.882,0.0,2.91,,,,
308,09/04/14 09:00:00 AM,14.709,5166.7,2.91,,,,
309,09/04/14 03:00:00 PM,15.091,1894.5,2.91,,,,
310,09/04/14 09:00:00 PM,12.110,0.0,2.91,,,,
311,09/05/14 03:00:00 AM,10.455,0.0,2.89,,,,
312,09/05/14 09:00:00 AM,16.523,5166.7,2.91,,,,
313,09/05/14 03:00:00 PM,17.760,1894.5,2.93,,,,
314,09/05/14 09:00:00 PM,13.942,0.0,2.93,,,,
315,09/06/14 03:00:00 AM,13.365,0.0,2.93,,,,
316,09/06/14 09:00:00 AM,19.377,6544.5,2.93,,,,
317,09/06/14 03:00:00 PM,20.424,2066.7,2.93,,,,
318,09/06/14 09:00:00 PM,15.282,0.0,2.91,,,,
319,09/07/14 03:00:00 AM,13.558,0.0,2.93,,,,
320,09/07/14 09:00:00 AM,19.758,6200.0,2.91,,,,
321,09/07/14 03:00:00 PM,20.519,2669.5,2.93,,,,
322,09/07/14 09:00:00 PM,14.613,0.0,2.93,,,,
323,09/08/14 03:00:00 AM,12.787,0.0,2.93,,,,
324,09/08/14 09:00:00 AM,18.426,5511.1,2.93,,,,
325,09/08/14 03:00:00 PM,19.472,5166.7,2.95,,,,
326,09/08/14 09:00:00 PM,11.819,0.0,2.91,,,,
327,09/09/14 03:00:00 AM,11.625,0.0,2.91,,,,
328,09/09/14 09:00:00 AM,11.916,1324.0,2.91,,,,
329,09/09/14 03:00:00 PM,13.365,1722.2,2.91,,,,
330,09/09/14 09:00:00 PM,9.866,0.0,2.89,,,,
331,09/10/14 03:00:00 AM,8.680,0.0,2.91,,,,
332,09/10/14 09:00:00 AM,14.900,5338.9,2.93,,,,
333,09/10/14 03:00:00 PM,17.094,1722.2,2.93,,,,
334,09/10/14 09:00:00 PM,13.173,0.0,2.91,,,,
