Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
200,10/25/2020 14:16,-1.684,2669.5,2.7,,,,,
201,10/25/2020 20:16,-2.494,0,2.68,,,,,
202,10/26/2020 2:16,-0.662,0,2.7,,,,,
203,10/26/2020 8:16,1.112,904.2,2.7,,,,,
204,10/26/2020 14:16,4.727,2411.1,2.74,,,,,
205,10/26/2020 20:16,2.624,0,2.72,,,,,
206,10/27/2020 2:16,4.415,0,2.74,,,,,
207,10/27/2020 8:16,5.86,613.5,2.74,,,,,
208,10/27/2020 14:16,10.748,2583.4,2.77,,,,,
209,10/27/2020 20:16,7.983,0,2.77,,,,,
210,10/28/2020 2:16,8.779,0,2.77,,,,,
211,10/28/2020 8:16,9.077,602.8,2.77,,,,,
212,10/28/2020 14:16,14.9,2583.4,2.81,,,,,
213,10/28/2020 20:16,10.944,0,2.79,,,,,
214,10/29/2020 2:16,10.455,0,2.79,,,,,
215,10/29/2020 8:16,10.553,592,2.79,,,,,
216,10/29/2020 14:16,15.282,2583.4,2.81,,,,,
217,10/29/2020 20:16,13.173,0,2.81,,,,,
218,10/30/2020 2:16,10.553,0,2.79,,,,,
219,10/30/2020 8:16,6.978,1463.9,2.79,,,,,
220,10/30/2020 14:16,6.775,559.7,2.77,,,,,
221,10/30/2020 20:16,3.683,0,2.77,,,,,
222,10/31/2020 2:16,2.837,0,2.75,,,,,
223,10/31/2020 8:16,4.311,559.7,2.77,,,,,
224,10/31/2020 14:16,11.431,2411.1,2.79,,,,,
225,10/31/2020 20:16,8.879,0,2.79,,,,,
226,11/1/2020 2:16,9.472,0,2.79,,,,,
227,11/1/2020 8:16,10.455,570.5,2.79,,,,,
228,11/1/2020 14:16,16.713,2497.2,2.83,,,,,
229,11/1/2020 20:16,12.401,0,2.81,,,,,
230,11/2/2020 2:16,13.654,0,2.83,,,,,
231,11/2/2020 8:16,13.461,570.5,2.83,,,,,
232,11/2/2020 14:16,16.427,2583.4,2.83,,,,,
233,11/2/2020 20:16,11.916,0,2.83,,,,,
234,11/3/2020 2:16,12.883,0,2.83,,,,,
235,11/3/2020 8:16,11.334,914.9,2.81,,,,,
236,11/3/2020 14:16,10.846,839.6,2.81,,,,,
237,11/3/2020 20:16,10.357,0,2.81,,,,,
238,11/4/2020 2:16,10.063,0,2.79,,,,,
239,11/4/2020 8:16,9.965,581.3,2.79,,,,,
240,11/4/2020 14:16,13.846,2927.8,2.83,,,,,
241,11/4/2020 20:16,10.259,0,2.79,,,,,
242,11/5/2020 2:16,9.965,0,2.79,,,,,
243,11/5/2020 8:16,8.481,344.4,2.81,,,,,
244,11/5/2020 14:16,8.68,107.6,2.81,,,,,
245,11/5/2020 20:16,6.775,0,2.79,,,,,
246,11/6/2020 2:16,1.221,0,2.75,,,,,
247,11/6/2020 8:16,0.893,236.8,2.75,,,,,
248,11/6/2020 14:16,1.33,527.4,2.75,,,,,
249,11/6/2020 20:16,1.003,0,2.74,,,,,
250,11/7/2020 2:16,1.112,0,2.74,,,,,
251,11/7/2020 8:16,0.343,322.9,2.74,,,,,
252,11/7/2020 14:16,0.01,344.4,2.72,,,,,
