"Plot Title: 10169186"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Good Battery","End Of File"
195,08/17/12 09:00:00 AM,24.255,3272.2,2.95,,,
196,08/17/12 03:00:00 PM,30.963,4133.4,2.93,,,
197,08/17/12 09:00:00 PM,20.996,0.0,2.95,,,
198,08/18/12 03:00:00 AM,19.282,0.0,2.95,,,
199,08/18/12 09:00:00 AM,18.616,473.6,2.95,,,
200,08/18/12 03:00:00 PM,26.781,3961.1,2.93,,,
201,08/18/12 09:00:00 PM,18.426,0.0,2.95,,,
202,08/19/12 03:00:00 AM,15.760,0.0,2.93,,,
203,08/19/12 09:00:00 AM,18.901,3272.2,2.95,,,
204,08/19/12 03:00:00 PM,22.429,3961.1,2.93,,,
205,08/19/12 09:00:00 PM,14.900,0.0,2.95,,,
206,08/20/12 03:00:00 AM,14.613,0.0,2.95,,,
207,08/20/12 09:00:00 AM,18.521,3100.0,2.93,,,
208,08/20/12 03:00:00 PM,23.292,4133.4,2.93,,,
209,08/20/12 09:00:00 PM,16.808,0.0,2.93,,,
210,08/21/12 03:00:00 AM,13.942,0.0,2.93,,,
211,08/21/12 09:00:00 AM,15.760,3100.0,2.91,,,
212,08/21/12 03:00:00 PM,20.424,3444.5,2.93,,,
213,08/21/12 09:00:00 PM,13.654,0.0,2.93,,,
214,08/22/12 03:00:00 AM,11.722,0.0,2.91,,,
215,08/22/12 09:00:00 AM,14.613,3100.0,2.93,,,
216,08/22/12 03:00:00 PM,20.519,3444.5,2.91,,,
217,08/22/12 09:00:00 PM,13.365,0.0,2.93,,,
218,08/23/12 03:00:00 AM,10.651,0.0,2.91,,,
219,08/23/12 09:00:00 AM,12.690,3272.2,2.91,,,
220,08/23/12 03:00:00 PM,16.999,3616.7,2.91,,,
221,08/23/12 09:00:00 PM,10.063,0.0,2.91,,,
222,08/24/12 03:00:00 AM,8.082,0.0,2.91,,,
223,08/24/12 09:00:00 AM,12.110,3616.7,2.91,,,
224,08/24/12 03:00:00 PM,21.187,3788.9,2.91,,,
225,08/24/12 09:00:00 PM,14.517,0.0,2.93,,,
226,08/25/12 03:00:00 AM,14.134,0.0,2.93,,,
227,08/25/12 09:00:00 AM,16.999,3272.2,2.91,,,
228,08/25/12 03:00:00 PM,22.238,3961.1,2.93,,,
229,08/25/12 09:00:00 PM,15.664,0.0,2.93,,,
230,08/26/12 03:00:00 AM,12.883,0.0,2.93,,,
231,08/26/12 09:00:00 AM,16.332,3961.1,2.91,,,
232,08/26/12 03:00:00 PM,18.140,2755.6,2.93,,,
233,08/26/12 09:00:00 PM,11.431,0.0,2.91,,,
234,08/27/12 03:00:00 AM,10.455,0.0,2.91,,,
235,08/27/12 09:00:00 AM,13.269,3100.0,2.91,,,
236,08/27/12 03:00:00 PM,17.950,1345.5,2.93,,,
237,08/27/12 09:00:00 PM,12.690,0.0,2.93,,,
238,08/28/12 03:00:00 AM,11.041,0.0,2.91,,,
239,08/28/12 09:00:00 AM,13.558,1550.0,2.91,,,
240,08/28/12 03:00:00 PM,12.980,2497.2,2.91,,,
241,08/28/12 09:00:00 PM,10.161,0.0,2.91,,,
242,08/29/12 03:00:00 AM,8.182,0.0,2.91,,,
243,08/29/12 09:00:00 AM,10.357,3616.7,2.89,,,
244,08/29/12 03:00:00 PM,16.427,3788.9,2.91,,,
245,08/29/12 09:00:00 PM,11.431,0.0,2.91,,,
246,08/30/12 03:00:00 AM,10.651,0.0,2.91,,,
247,08/30/12 09:00:00 AM,14.613,3616.7,2.91,,,
248,08/30/12 03:00:00 PM,20.901,3616.7,2.91,,,
249,08/30/12 09:00:00 PM,14.230,0.0,2.93,,,
250,08/31/12 03:00:00 AM,12.013,0.0,2.91,,,
