Plot Title: 10166293,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
283,9/23/2015 9:00,9.571,200,2.87,,,,
284,9/23/2015 15:00,15.951,448,2.85,,,,
285,9/23/2015 21:00,11.334,0,2.85,,,,
286,9/24/2015 3:00,13.269,0,2.87,,,,
287,9/24/2015 9:00,13.846,144,2.87,,,,
288,9/24/2015 15:00,18.616,576,2.87,,,,
289,9/24/2015 21:00,13.942,0,2.87,,,,
290,9/25/2015 3:00,13.365,0,2.87,,,,
291,9/25/2015 9:00,14.517,192,2.87,,,,
292,9/25/2015 15:00,17.094,120,2.87,,,,
293,9/25/2015 21:00,12.883,0,2.85,,,,
294,9/26/2015 3:00,10.748,0,2.85,,,,
295,9/26/2015 9:00,9.965,128,2.85,,,,
296,9/26/2015 15:00,12.013,480,2.85,,,,
297,9/26/2015 21:00,8.182,0,2.87,,,,
298,9/27/2015 3:00,6.166,0,2.85,,,,
299,9/27/2015 9:00,7.381,200,2.85,,,,
300,9/27/2015 15:00,14.325,448,2.87,,,,
301,9/27/2015 21:00,9.373,0,2.87,,,,
302,9/28/2015 3:00,10.748,0,2.85,,,,
303,9/28/2015 9:00,13.076,208,2.85,,,,
304,9/28/2015 15:00,20.615,448,2.87,,,,
305,9/28/2015 21:00,15.378,0,2.85,,,,
306,9/29/2015 3:00,15.282,0,2.85,,,,
307,9/29/2015 9:00,16.999,192,2.87,,,,
308,9/29/2015 15:00,20.424,416,2.87,,,,
309,9/29/2015 21:00,13.942,0,2.87,,,,
310,9/30/2015 3:00,12.013,0,2.85,,,,
311,9/30/2015 9:00,13.173,192,2.87,,,,
312,9/30/2015 15:00,18.521,416,2.87,,,,
313,9/30/2015 21:00,12.497,0,2.85,,,,
314,10/1/2015 3:00,11.819,0,2.85,,,,
315,10/1/2015 9:00,13.654,192,2.87,,,,
316,10/1/2015 15:00,17.094,416,2.87,,,,
317,10/1/2015 21:00,10.944,0,2.85,,,,
318,10/2/2015 3:00,9.669,0,2.85,,,,
319,10/2/2015 9:00,10.455,208,2.85,,,,
320,10/2/2015 15:00,14.517,432,2.87,,,,
321,10/2/2015 21:00,7.882,0,2.85,,,,
322,10/3/2015 3:00,6.471,0,2.85,,,,
323,10/3/2015 9:00,5.86,216,2.85,,,,
324,10/3/2015 15:00,8.581,368,2.87,,,,
325,10/3/2015 21:00,9.077,0,2.87,,,,
326,10/4/2015 3:00,9.176,0,2.87,,,,
327,10/4/2015 9:00,9.965,200,2.85,,,,
328,10/4/2015 15:00,14.804,256,2.87,,,,
329,10/4/2015 21:00,10.748,0,2.85,,,,
330,10/5/2015 3:00,12.594,0,2.85,,,,
331,10/5/2015 9:00,13.846,200,2.87,,,,
