Plot Title: 10166287,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Good Battery,Coupler Attached,Stopped,End Of File
334,10/5/2015 3:00,5.45,0,2.87,,,,,
335,10/5/2015 9:00,6.775,200,2.87,,,,,
336,10/5/2015 15:00,24.641,1024,2.97,,,,,
337,10/5/2015 21:00,8.68,0,2.91,,,,,
338,10/6/2015 3:00,6.268,0,2.89,,,,,
339,10/6/2015 9:00,14.996,2176,2.93,,,,,
340,10/6/2015 15:00,22.812,1344,2.95,,,,,
341,10/6/2015 21:00,9.768,0,2.89,,,,,
342,10/7/2015 3:00,9.866,0,2.89,,,,,
343,10/7/2015 9:00,17.665,1536,2.93,,,,,
344,10/7/2015 15:00,25.513,2304,2.93,,,,,
345,10/7/2015 21:00,10.944,0,2.89,,,,,
346,10/8/2015 3:00,8.68,0,2.89,,,,,
347,10/8/2015 9:00,18.14,1920,2.91,,,,,
348,10/8/2015 15:00,26.097,2432,2.93,,,,,
349,10/8/2015 21:00,8.779,0,2.89,,,,,
350,10/9/2015 3:00,7.079,0,2.87,,,,,
351,10/9/2015 9:00,16.713,1024,2.91,,,,,
352,10/9/2015 15:00,23.292,1728,2.93,,,,,
353,10/9/2015 21:00,11.139,0,2.89,,,,,
354,10/10/2015 3:00,12.207,0,2.89,,,,,
355,10/10/2015 9:00,9.472,168,2.87,,,,,
356,10/10/2015 15:00,14.517,608,2.93,,,,,
357,10/10/2015 21:00,9.373,0,2.89,,,,,
358,10/11/2015 3:00,8.978,0,2.89,,,,,
359,10/11/2015 9:00,4.727,160,2.89,,,,,
360,10/11/2015 15:00,18.045,800,2.93,,,,,
361,10/11/2015 21:00,6.064,0,2.87,,,,,
362,10/12/2015 3:00,3.788,0,2.87,,,,,
363,10/12/2015 9:00,4.623,144,2.87,,,,,
364,10/12/2015 15:00,18.901,960,2.93,,,,,
365,10/12/2015 21:00,6.775,0,2.87,,,,,
366,10/13/2015 3:00,4.207,0,2.89,,,,,
367,10/13/2015 9:00,5.655,144,2.87,,,,,
368,10/13/2015 15:00,20.996,896,2.93,,,,,
369,10/13/2015 21:00,7.882,0,2.89,,,,,
370,10/14/2015 3:00,5.347,0,2.87,,,,,
371,10/14/2015 9:00,7.682,304,2.87,,,,,
372,10/14/2015 15:00,22.812,1088,2.95,,,,,
373,10/14/2015 21:00,9.373,0,2.91,,,,,
374,10/15/2015 3:00,7.481,0,2.89,,,,,
375,10/15/2015 9:00,10.846,480,2.89,,,,,
376,10/15/2015 15:00,21.664,432,2.93,,,,,
377,10/15/2015 21:00,10.357,0,2.89,,,,,
378,10/16/2015 3:00,8.182,0,2.89,,,,,
379,10/16/2015 9:00,15.569,992,2.89,,,,,
380,10/16/2015 15:00,24.351,1216,2.95,,,,,
381,10/16/2015 21:00,12.98,0,2.91,,,,,
382,10/17/2015 3:00,11.528,0,2.89,,,,,
383,10/17/2015 9:00,15.378,1472,2.89,,,,,
384,10/17/2015 15:00,12.98,448,2.89,,,,,
385,10/17/2015 21:00,10.651,0,2.87,,,,,
386,10/18/2015 3:00,9.275,0,2.87,,,,,
387,10/18/2015 9:00,13.269,1344,2.89,,,,,
388,10/18/2015 15:00,17.95,800,2.91,,,,,
389,10/18/2015 21:00,6.268,0,2.87,,,,,
390,10/19/2015 3:00,9.472,0,2.87,,,,,
391,10/19/2015 9:00,10.944,512,2.87,,,,,
392,10/19/2015 15:00,15.282,2176,2.87,,,,,
393,10/19/2015 21:00,9.669,0,2.85,,,,,
394,10/20/2015 3:00,8.282,0,2.87,,,,,
395,10/20/2015 9:00,6.166,432,2.85,,,,,
396,10/20/2015 15:00,15.855,800,2.89,,,,,
397,10/20/2015 21:00,4.831,0,2.85,,,,,
398,10/21/2015 3:00,2.837,0,2.85,,,,,
399,10/21/2015 9:00,4.102,480,2.85,,,,,
400,10/21/2015 15:00,16.808,864,2.89,,,,,
401,10/21/2015 21:00,6.268,0,2.87,,,,,
402,10/22/2015 3:00,7.882,0,2.87,,,,,
403,10/22/2015 9:00,3.472,176,2.85,,,,,
404,10/22/2015 15:00,15.569,896,2.89,,,,,
405,10/22/2015 21:00,2.624,0,2.85,,,,,
406,10/23/2015 3:00,-0.774,0,2.83,,,,,
407,10/23/2015 9:00,1.33,256,2.83,,,,,
