Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
374,11/17/2018 21:00,2.837,0,,
375,11/18/2018 3:00,2.73,0,,
376,11/18/2018 9:00,4.934,15,,
377,11/18/2018 15:00,8.282,71,,
378,11/18/2018 21:00,6.978,0,,
379,11/19/2018 3:00,5.037,0,,
380,11/19/2018 9:00,5.552,15,,
381,11/19/2018 15:00,8.779,71,,
382,11/19/2018 21:00,6.268,0,,
383,11/20/2018 3:00,5.244,0,,
384,11/20/2018 9:00,4.415,21,,
385,11/20/2018 15:00,8.282,128,,
386,11/20/2018 21:00,5.655,0,,
387,11/21/2018 3:00,5.347,0,,
388,11/21/2018 9:00,5.141,44,,
389,11/21/2018 15:00,5.552,136,,
390,11/21/2018 21:00,3.578,0,,
391,11/22/2018 3:00,3.049,0,,
392,11/22/2018 9:00,1.656,77,,
393,11/22/2018 15:00,0.343,24,,
394,11/22/2018 21:00,0.343,0,,
395,11/23/2018 3:00,0.232,0,,
396,11/23/2018 9:00,0.343,1,,
397,11/23/2018 15:00,0.343,6,,
398,11/23/2018 21:00,0.232,0,,
399,11/24/2018 3:00,0.232,0,,
400,11/24/2018 9:00,0.343,0,,
401,11/24/2018 15:00,0.343,4,,
402,11/24/2018 21:00,0.343,0,,
403,11/25/2018 3:00,0.232,0,,
404,11/25/2018 9:00,0.232,0,,
405,11/25/2018 15:00,0.343,5,,
406,11/25/2018 21:00,0.343,0,,
407,11/26/2018 3:00,0.343,0,,
408,11/26/2018 9:00,0.343,3,,
409,11/26/2018 15:00,0.893,48,,
410,11/26/2018 21:00,2.41,0,,
411,11/27/2018 3:00,3.472,0,,
412,11/27/2018 9:00,4.623,4,,
413,11/27/2018 15:00,2.517,11,,
414,11/27/2018 21:00,0.563,0,,
415,11/28/2018 3:00,1.221,0,,
416,11/28/2018 9:00,1.112,14,,
417,11/28/2018 15:00,1.98,107,,
418,11/28/2018 21:00,1.548,0,,
419,11/29/2018 3:00,0.343,0,,
420,11/29/2018 9:00,0.784,38,,
421,11/29/2018 15:00,3.049,81,,
422,11/29/2018 21:00,0.674,0,,
423,11/30/2018 3:00,0.232,0,,
424,11/30/2018 9:00,0.121,1,,
425,11/30/2018 15:00,0.232,0,,
426,11/30/2018 21:00,0.121,0,,
427,12/1/2018 3:00,0.121,0,,
428,12/1/2018 9:00,0.232,0,,
429,12/1/2018 15:00,0.232,0,,
430,12/1/2018 21:00,0.232,0,,
431,12/2/2018 3:00,0.232,0,,
432,12/2/2018 9:00,0.232,0,,
433,12/2/2018 15:00,0.232,0,,
434,12/2/2018 21:00,0.232,0,,
435,12/3/2018 3:00,0.121,0,,
436,12/3/2018 9:00,0.01,0,,
437,12/3/2018 15:00,0.01,0,,
438,12/3/2018 21:00,0.121,0,,
439,12/4/2018 3:00,-0.102,0,,
440,12/4/2018 9:00,-0.102,0,,
441,12/4/2018 15:00,-0.102,0,,
442,12/4/2018 21:00,-0.102,0,,
443,12/5/2018 3:00,-0.102,0,,
444,12/5/2018 9:00,0.01,0,,
445,12/5/2018 15:00,0.01,0,,
446,12/5/2018 21:00,-0.102,0,,
447,12/6/2018 3:00,-0.213,0,,
448,12/6/2018 9:00,-0.325,0,,
449,12/6/2018 15:00,-0.325,0,,
450,12/6/2018 21:00,-0.102,0,,
451,12/7/2018 3:00,-0.213,0,,
452,12/7/2018 9:00,-0.213,0,,
453,12/7/2018 15:00,0.01,0,,
454,12/7/2018 21:00,0.232,0,,
455,12/8/2018 3:00,0.232,0,,
456,12/8/2018 9:00,0.232,0,,
457,12/8/2018 15:00,0.232,0,,
458,12/8/2018 21:00,0.232,0,,
459,12/9/2018 3:00,0.232,0,,
460,12/9/2018 9:00,0.232,0,,
461,12/9/2018 15:00,0.232,0,,
