"Plot Title: 10166295"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
216,07/17/17 09:00:00 AM,13.654,288.0,2.79,,,,,,
217,07/17/17 03:00:00 PM,21.664,448.0,2.81,,,,,,
218,07/17/17 09:00:00 PM,13.942,0.0,2.81,,,,,,
219,07/18/17 03:00:00 AM,12.304,0.0,2.79,,,,,,
220,07/18/17 09:00:00 AM,15.664,288.0,2.79,,,,,,
221,07/18/17 03:00:00 PM,22.908,448.0,2.81,,,,,,
222,07/18/17 09:00:00 PM,14.230,0.0,2.81,,,,,,
223,07/19/17 03:00:00 AM,11.334,0.0,2.77,,,,,,
224,07/19/17 09:00:00 AM,14.709,288.0,2.81,,,,,,
225,07/19/17 03:00:00 PM,21.855,448.0,2.81,,,,,,
226,07/19/17 09:00:00 PM,13.076,0.0,2.79,,,,,,
227,07/20/17 03:00:00 AM,9.571,0.0,2.79,,,,,,
228,07/20/17 09:00:00 AM,12.207,304.0,2.79,,,,,,
229,07/20/17 03:00:00 PM,20.615,480.0,2.81,,,,,,
230,07/20/17 09:00:00 PM,12.401,0.0,2.79,,,,,,
231,07/21/17 03:00:00 AM,10.553,0.0,2.77,,,,,,
232,07/21/17 09:00:00 AM,14.230,288.0,2.79,,,,,,
233,07/21/17 03:00:00 PM,22.908,464.0,2.81,,,,,,
234,07/21/17 09:00:00 PM,15.091,0.0,2.79,,,,,,
235,07/22/17 03:00:00 AM,13.846,0.0,2.81,,,,,,
236,07/22/17 09:00:00 AM,18.521,272.0,2.81,,,,,,
237,07/22/17 03:00:00 PM,26.977,480.0,2.83,,,,,,
238,07/22/17 09:00:00 PM,19.758,0.0,2.81,,,,,,
239,07/23/17 03:00:00 AM,17.189,0.0,2.83,,,,,,
240,07/23/17 09:00:00 AM,20.710,288.0,2.81,,,,,,
241,07/23/17 03:00:00 PM,27.665,512.0,2.85,,,,,,
242,07/23/17 09:00:00 PM,18.140,0.0,2.83,,,,,,
243,07/24/17 03:00:00 AM,15.760,0.0,2.81,,,,,,
244,07/24/17 09:00:00 AM,19.472,272.0,2.83,,,,,,
245,07/24/17 03:00:00 PM,27.272,432.0,2.85,,,,,,
246,07/24/17 09:00:00 PM,18.236,0.0,2.83,,,,,,
247,07/25/17 03:00:00 AM,16.808,0.0,2.83,,,,,,
248,07/25/17 09:00:00 AM,18.711,320.0,2.83,,,,,,
249,07/25/17 03:00:00 PM,26.000,608.0,2.83,,,,,,
250,07/25/17 09:00:00 PM,17.855,0.0,2.83,,,,,,
251,07/26/17 03:00:00 AM,16.713,0.0,2.83,,,,,,
252,07/26/17 09:00:00 AM,18.426,288.0,2.83,,,,,,
253,07/26/17 03:00:00 PM,26.097,480.0,2.85,,,,,,
254,07/26/17 09:00:00 PM,16.713,0.0,2.83,,,,,,
255,07/27/17 03:00:00 AM,14.134,0.0,2.83,,,,,,
256,07/27/17 09:00:00 AM,16.332,288.0,2.81,,,,,,
257,07/27/17 03:00:00 PM,24.448,512.0,2.85,,,,,,
258,07/27/17 09:00:00 PM,15.951,0.0,2.81,,,,,,
259,07/28/17 03:00:00 AM,13.846,0.0,2.81,,,,,,
260,07/28/17 09:00:00 AM,15.664,288.0,2.81,,,,,,
261,07/28/17 03:00:00 PM,23.966,768.0,2.83,,,,,,
262,07/28/17 09:00:00 PM,15.855,0.0,2.81,,,,,,
263,07/29/17 03:00:00 AM,13.942,0.0,2.81,,,,,,
264,07/29/17 09:00:00 AM,16.332,288.0,2.81,,,,,,
265,07/29/17 03:00:00 PM,25.708,864.0,2.83,,,,,,
266,07/29/17 09:00:00 PM,17.379,0.0,2.83,,,,,,
267,07/30/17 03:00:00 AM,14.996,0.0,2.83,,,,,,
268,07/30/17 09:00:00 AM,17.855,288.0,2.83,,,,,,
269,07/30/17 03:00:00 PM,26.977,672.0,2.85,,,,,,
270,07/30/17 09:00:00 PM,19.187,0.0,2.83,,,,,,
271,07/31/17 03:00:00 AM,17.189,0.0,2.83,,,,,,
272,07/31/17 09:00:00 AM,21.664,304.0,2.83,,,,,,
273,07/31/17 03:00:00 PM,30.862,608.0,2.87,,,,,,
274,07/31/17 09:00:00 PM,21.951,0.0,2.85,,,,,,
275,08/01/17 03:00:00 AM,19.853,0.0,2.83,,,,,,
276,08/01/17 09:00:00 AM,23.966,288.0,2.85,,,,,,
277,08/01/17 03:00:00 PM,32.497,608.0,2.89,,,,,,
278,08/01/17 09:00:00 PM,23.966,0.0,2.87,,,,,,
279,08/02/17 03:00:00 AM,23.100,0.0,2.85,,,,,,
280,08/02/17 09:00:00 AM,25.805,288.0,2.85,,,,,,
281,08/02/17 03:00:00 PM,33.953,896.0,2.89,,,,,,
282,08/02/17 09:00:00 PM,24.931,0.0,2.87,,,,,,
283,08/03/17 03:00:00 AM,23.677,0.0,2.87,,,,,,
284,08/03/17 09:00:00 AM,25.416,304.0,2.85,,,,,,
285,08/03/17 03:00:00 PM,34.058,1536.0,2.91,,,,,,
286,08/03/17 09:00:00 PM,23.196,0.0,2.87,,,,,,
287,08/04/17 03:00:00 AM,20.519,0.0,2.83,,,,,,
288,08/04/17 09:00:00 AM,22.142,320.0,2.85,,,,,,
289,08/04/17 03:00:00 PM,30.457,1088.0,2.87,,,,,,
290,08/04/17 09:00:00 PM,20.519,0.0,2.83,,,,,,
291,08/05/17 03:00:00 AM,17.570,0.0,2.83,,,,,,
292,08/05/17 09:00:00 AM,19.092,304.0,2.83,,,,,,
293,08/05/17 03:00:00 PM,26.977,1408.0,2.87,,,,,,
294,08/05/17 09:00:00 PM,19.092,0.0,2.85,,,,,,
295,08/06/17 03:00:00 AM,18.045,0.0,2.83,,,,,,
296,08/06/17 09:00:00 AM,21.569,400.0,2.83,,,,,,
297,08/06/17 03:00:00 PM,25.416,864.0,2.85,,,,,,
298,08/06/17 09:00:00 PM,19.758,0.0,2.81,,,,,,
299,08/07/17 03:00:00 AM,18.616,0.0,2.83,,,,,,
300,08/07/17 09:00:00 AM,22.429,400.0,2.83,,,,,,
301,08/07/17 03:00:00 PM,30.255,896.0,2.85,,,,,,
302,08/07/17 09:00:00 PM,20.996,0.0,2.83,,,,,,
303,08/08/17 03:00:00 AM,19.092,0.0,2.83,,,,,,
304,08/08/17 09:00:00 AM,23.100,368.0,2.85,,,,,,
305,08/08/17 03:00:00 PM,31.370,992.0,2.87,,,,,,
306,08/08/17 09:00:00 PM,21.760,0.0,2.85,,,,,,
307,08/09/17 03:00:00 AM,19.377,0.0,2.83,,,,,,
308,08/09/17 09:00:00 AM,21.282,352.0,2.83,,,,,,
309,08/09/17 03:00:00 PM,32.086,704.0,2.87,,,,,,
310,08/09/17 09:00:00 PM,20.901,0.0,2.83,,,,,,
311,08/10/17 03:00:00 AM,19.092,0.0,2.83,,,,,,
312,08/10/17 09:00:00 AM,21.473,368.0,2.83,,,,,,
313,08/10/17 03:00:00 PM,21.091,90.0,2.83,,,,,,
314,08/10/17 09:00:00 PM,20.901,0.0,2.83,,,,,,
315,08/11/17 03:00:00 AM,18.426,0.0,2.83,,,,,,
316,08/11/17 09:00:00 AM,20.615,368.0,2.81,,,,,,
317,08/11/17 03:00:00 PM,30.457,6144.0,2.85,,,,,,
318,08/11/17 09:00:00 PM,18.901,0.0,2.83,,,,,,
319,08/12/17 03:00:00 AM,16.523,0.0,2.83,,,,,,
320,08/12/17 09:00:00 AM,17.760,400.0,2.83,,,,,,
321,08/12/17 03:00:00 PM,26.390,4096.0,2.85,,,,,,
322,08/12/17 09:00:00 PM,15.091,0.0,2.81,,,,,,
323,08/13/17 03:00:00 AM,12.690,0.0,2.81,,,,,,
324,08/13/17 09:00:00 AM,11.236,152.0,2.79,,,,,,
325,08/13/17 03:00:00 PM,14.325,352.0,2.81,,,,,,
326,08/13/17 09:00:00 PM,10.651,0.0,2.77,,,,,,
327,08/14/17 03:00:00 AM,9.077,0.0,2.79,,,,,,
328,08/14/17 09:00:00 AM,11.625,496.0,2.77,,,,,,
329,08/14/17 03:00:00 PM,20.138,2560.0,2.81,,,,,,
330,08/14/17 09:00:00 PM,12.110,0.0,2.79,,,,,,
331,08/15/17 03:00:00 AM,10.846,0.0,2.77,,,,,,
332,08/15/17 09:00:00 AM,14.613,496.0,2.81,,,,,,
333,08/15/17 03:00:00 PM,17.475,368.0,2.81,,,,,,
334,08/15/17 09:00:00 PM,13.846,0.0,2.79,,,,,,
335,08/16/17 03:00:00 AM,12.304,0.0,2.79,,,,,,
336,08/16/17 09:00:00 AM,15.664,304.0,2.79,,,,,,
337,08/16/17 03:00:00 PM,24.931,2560.0,2.83,,,,,,
338,08/16/17 09:00:00 PM,15.855,0.0,2.81,,,,,,
339,08/17/17 03:00:00 AM,13.654,0.0,2.81,,,,,,
340,08/17/17 09:00:00 AM,16.141,272.0,2.81,,,,,,
341,08/17/17 03:00:00 PM,24.641,512.0,2.85,,,,,,
342,08/17/17 09:00:00 PM,16.713,0.0,2.83,,,,,,
343,08/18/17 03:00:00 AM,14.709,0.0,2.83,,,,,,
344,08/18/17 09:00:00 AM,17.475,248.0,2.83,,,,,,
345,08/18/17 03:00:00 PM,24.931,512.0,2.85,,,,,,
346,08/18/17 09:00:00 PM,15.187,0.0,2.81,,,,,,
347,08/19/17 03:00:00 AM,13.076,0.0,2.81,,,,,,
348,08/19/17 09:00:00 AM,14.134,256.0,2.81,,,,,,
349,08/19/17 03:00:00 PM,22.717,496.0,2.83,,,,,,
350,08/19/17 09:00:00 PM,14.709,0.0,2.83,,,,,,
351,08/20/17 03:00:00 AM,12.304,0.0,2.81,,,,,,
352,08/20/17 09:00:00 AM,15.091,272.0,2.81,,,,,,
353,08/20/17 03:00:00 PM,25.028,432.0,2.83,,,,,,
354,08/20/17 09:00:00 PM,16.332,0.0,2.83,,,,,,
355,08/21/17 03:00:00 AM,15.378,0.0,2.81,,,,,,
356,08/21/17 09:00:00 AM,19.092,83.0,2.83,,,,,,
357,08/21/17 03:00:00 PM,28.555,480.0,2.87,,,,,,
358,08/21/17 09:00:00 PM,18.901,0.0,2.83,,,,,,
359,08/22/17 03:00:00 AM,16.237,0.0,2.83,,,,,,
360,08/22/17 09:00:00 AM,19.472,368.0,2.83,,,,,,
361,08/22/17 03:00:00 PM,26.488,512.0,2.85,,,,,,
362,08/22/17 09:00:00 PM,16.808,0.0,2.83,,,,,,
363,08/23/17 03:00:00 AM,15.855,0.0,2.83,,,,,,
364,08/23/17 09:00:00 AM,18.711,368.0,2.83,,,,,,
365,08/23/17 03:00:00 PM,23.196,336.0,2.85,,,,,,
366,08/23/17 09:00:00 PM,15.282,0.0,2.81,,,,,,
367,08/24/17 03:00:00 AM,12.980,0.0,2.81,,,,,,
368,08/24/17 09:00:00 AM,14.517,384.0,2.81,,,,,,
369,08/24/17 03:00:00 PM,21.187,400.0,2.83,,,,,,
370,08/24/17 09:00:00 PM,11.625,0.0,2.79,,,,,,
371,08/25/17 03:00:00 AM,10.455,0.0,2.77,,,,,,
372,08/25/17 09:00:00 AM,13.461,256.0,2.81,,,,,,
373,08/25/17 03:00:00 PM,27.075,368.0,2.85,,,,,,
374,08/25/17 09:00:00 PM,15.664,0.0,2.81,,,,,,
375,08/26/17 03:00:00 AM,15.760,0.0,2.81,,,,,,
376,08/26/17 09:00:00 AM,19.948,288.0,2.81,,,,,,
377,08/26/17 03:00:00 PM,32.394,464.0,2.87,,,,,,
378,08/26/17 09:00:00 PM,21.473,0.0,2.83,,,,,,
379,08/27/17 03:00:00 AM,20.710,0.0,2.83,,,,,,
380,08/27/17 09:00:00 AM,24.448,304.0,2.85,,,,,,
381,08/27/17 03:00:00 PM,33.953,480.0,2.89,,,,,,
382,08/27/17 09:00:00 PM,23.388,0.0,2.87,,,,,,
383,08/28/17 03:00:00 AM,22.142,0.0,2.85,,,,,,
384,08/28/17 09:00:00 AM,24.545,320.0,2.87,,,,,,
385,08/28/17 03:00:00 PM,33.848,512.0,2.91,,,,,,
386,08/28/17 09:00:00 PM,23.004,0.0,2.87,,,,,,
387,08/29/17 03:00:00 AM,21.187,0.0,2.85,,,,,,
388,08/29/17 09:00:00 AM,23.581,352.0,2.87,,,,,,
