"Plot Title: 10169140"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
221,07/19/17 03:00:00 PM,17.284,69.0,2.87,,,,
222,07/19/17 09:00:00 PM,12.594,0.0,2.85,,,,
223,07/20/17 03:00:00 AM,9.571,0.0,2.87,,,,
224,07/20/17 09:00:00 AM,12.304,200.0,2.85,,,,
225,07/20/17 03:00:00 PM,15.951,84.0,2.85,,,,
226,07/20/17 09:00:00 PM,11.625,0.0,2.85,,,,
227,07/21/17 03:00:00 AM,9.669,0.0,2.83,,,,
228,07/21/17 09:00:00 AM,13.365,192.0,2.85,,,,
229,07/21/17 03:00:00 PM,17.950,69.0,2.87,,,,
230,07/21/17 09:00:00 PM,13.269,0.0,2.85,,,,
231,07/22/17 03:00:00 AM,12.304,0.0,2.85,,,,
232,07/22/17 09:00:00 AM,16.237,200.0,2.85,,,,
233,07/22/17 03:00:00 PM,21.664,65.0,2.89,,,,
234,07/22/17 09:00:00 PM,17.950,0.0,2.89,,,,
235,07/23/17 03:00:00 AM,16.046,0.0,2.87,,,,
236,07/23/17 09:00:00 AM,19.187,200.0,2.89,,,,
237,07/23/17 03:00:00 PM,22.525,71.0,2.91,,,,
238,07/23/17 09:00:00 PM,16.903,0.0,2.89,,,,
239,07/24/17 03:00:00 AM,14.804,0.0,2.89,,,,
240,07/24/17 09:00:00 AM,17.760,224.0,2.89,,,,
241,07/24/17 03:00:00 PM,21.569,65.0,2.89,,,,
242,07/24/17 09:00:00 PM,17.284,0.0,2.89,,,,
243,07/25/17 03:00:00 AM,15.282,0.0,2.87,,,,
244,07/25/17 09:00:00 AM,17.950,248.0,2.89,,,,
245,07/25/17 03:00:00 PM,21.091,82.0,2.89,,,,
246,07/25/17 09:00:00 PM,16.618,0.0,2.89,,,,
247,07/26/17 03:00:00 AM,15.473,0.0,2.87,,,,
248,07/26/17 09:00:00 AM,17.665,240.0,2.89,,,,
249,07/26/17 03:00:00 PM,21.760,65.0,2.89,,,,
250,07/26/17 09:00:00 PM,15.378,0.0,2.87,,,,
