"Plot Title: 10760650"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Coupler Attached","Stopped","End Of File"
426,09/06/17 09:00:00 AM,20.615,71.0,,,
427,09/06/17 03:00:00 PM,22.046,256.0,,,
428,09/06/17 09:00:00 PM,17.760,0.0,,,
429,09/07/17 03:00:00 AM,18.236,0.0,,,
430,09/07/17 09:00:00 AM,17.855,24.0,,,
431,09/07/17 03:00:00 PM,19.472,19.0,,,
432,09/07/17 09:00:00 PM,14.900,0.0,,,
433,09/08/17 03:00:00 AM,14.421,0.0,,,
434,09/08/17 09:00:00 AM,14.134,81.0,,,
435,09/08/17 03:00:00 PM,17.665,576.0,,,
436,09/08/17 09:00:00 PM,13.654,0.0,,,
437,09/09/17 03:00:00 AM,13.076,0.0,,,
438,09/09/17 09:00:00 AM,13.173,96.0,,,
439,09/09/17 03:00:00 PM,18.806,576.0,,,
440,09/09/17 09:00:00 PM,13.846,0.0,,,
441,09/10/17 03:00:00 AM,11.819,0.0,,,
442,09/10/17 09:00:00 AM,12.304,53.0,,,
443,09/10/17 03:00:00 PM,20.901,352.0,,,
444,09/10/17 09:00:00 PM,17.570,0.0,,,
445,09/11/17 03:00:00 AM,16.903,0.0,,,
446,09/11/17 09:00:00 AM,17.189,27.0,,,
447,09/11/17 03:00:00 PM,27.468,672.0,,,
448,09/11/17 09:00:00 PM,21.378,0.0,,,
449,09/12/17 03:00:00 AM,19.853,0.0,,,
450,09/12/17 09:00:00 AM,18.616,36.0,,,
451,09/12/17 03:00:00 PM,23.773,384.0,,,
452,09/12/17 09:00:00 PM,17.950,0.0,,,
453,09/13/17 03:00:00 AM,15.187,0.0,,,
454,09/13/17 09:00:00 AM,13.173,32.0,,,
455,09/13/17 03:00:00 PM,21.569,432.0,,,
456,09/13/17 09:00:00 PM,11.916,0.0,,,
457,09/14/17 03:00:00 AM,10.553,0.0,,,
458,09/14/17 09:00:00 AM,9.176,38.0,,,
459,09/14/17 03:00:00 PM,16.999,608.0,,,
460,09/14/17 09:00:00 PM,10.455,0.0,,,
461,09/15/17 03:00:00 AM,9.472,0.0,,,
462,09/15/17 09:00:00 AM,9.669,49.0,,,
463,09/15/17 03:00:00 PM,17.570,1280.0,,,
464,09/15/17 09:00:00 PM,12.110,0.0,,,
465,09/16/17 03:00:00 AM,10.846,0.0,,,
466,09/16/17 09:00:00 AM,11.625,117.0,,,
467,09/16/17 03:00:00 PM,16.427,232.0,,,
468,09/16/17 09:00:00 PM,12.980,0.0,,,
469,09/17/17 03:00:00 AM,9.669,0.0,,,
470,09/17/17 09:00:00 AM,7.782,115.0,,,
471,09/17/17 03:00:00 PM,10.748,72.0,,,
472,09/17/17 09:00:00 PM,8.978,0.0,,,
473,09/18/17 03:00:00 AM,7.280,0.0,,,
474,09/18/17 09:00:00 AM,4.727,45.0,,,
475,09/18/17 03:00:00 PM,5.450,77.0,,,
476,09/18/17 09:00:00 PM,4.311,0.0,,,
477,09/19/17 03:00:00 AM,3.788,0.0,,,
478,09/19/17 09:00:00 AM,3.683,5.0,,,
479,09/19/17 03:00:00 PM,4.934,184.0,,,
480,09/19/17 09:00:00 PM,4.831,0.0,,,
481,09/20/17 03:00:00 AM,6.166,0.0,,,
482,09/20/17 09:00:00 AM,3.261,67.0,,,
483,09/20/17 03:00:00 PM,2.943,69.0,,,
484,09/20/17 09:00:00 PM,2.195,0.0,,,
485,09/21/17 03:00:00 AM,2.410,0.0,,,
486,09/21/17 09:00:00 AM,2.624,57.0,,,
487,09/21/17 03:00:00 PM,5.037,320.0,,,
488,09/21/17 09:00:00 PM,3.683,0.0,,,
489,09/22/17 03:00:00 AM,3.155,0.0,,,
