"Plot Title: 10169147"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
323,08/12/17 03:00:00 AM,16.523,0.0,2.89,,,,,
324,08/12/17 09:00:00 AM,16.903,144.0,2.89,,,,,
325,08/12/17 03:00:00 PM,21.664,384.0,2.89,,,,,
326,08/12/17 09:00:00 PM,15.378,0.0,2.87,,,,,
327,08/13/17 03:00:00 AM,13.461,0.0,2.87,,,,,
328,08/13/17 09:00:00 AM,11.722,128.0,2.85,,,,,
329,08/13/17 03:00:00 PM,13.942,81.0,2.87,,,,,
330,08/13/17 09:00:00 PM,11.722,0.0,2.85,,,,,
331,08/14/17 03:00:00 AM,9.965,0.0,2.85,,,,,
332,08/14/17 09:00:00 AM,10.553,200.0,2.85,,,,,
333,08/14/17 03:00:00 PM,18.045,416.0,2.87,,,,,
334,08/14/17 09:00:00 PM,12.690,0.0,2.85,,,,,
335,08/15/17 03:00:00 AM,11.041,0.0,2.85,,,,,
336,08/15/17 09:00:00 AM,12.980,192.0,2.85,,,,,
337,08/15/17 03:00:00 PM,16.808,192.0,2.87,,,,,
338,08/15/17 09:00:00 PM,14.134,0.0,2.87,,,,,
339,08/16/17 03:00:00 AM,12.497,0.0,2.85,,,,,
340,08/16/17 09:00:00 AM,13.558,117.0,2.85,,,,,
341,08/16/17 03:00:00 PM,23.100,384.0,2.89,,,,,
342,08/16/17 09:00:00 PM,15.951,0.0,2.87,,,,,
343,08/17/17 03:00:00 AM,14.230,0.0,2.87,,,,,
344,08/17/17 09:00:00 AM,14.517,121.0,2.87,,,,,
345,08/17/17 03:00:00 PM,22.812,384.0,2.89,,,,,
346,08/17/17 09:00:00 PM,16.808,0.0,2.87,,,,,
347,08/18/17 03:00:00 AM,14.421,0.0,2.87,,,,,
348,08/18/17 09:00:00 AM,15.473,116.0,2.85,,,,,
349,08/18/17 03:00:00 PM,23.004,416.0,2.91,,,,,
350,08/18/17 09:00:00 PM,15.855,0.0,2.87,,,,,
351,08/19/17 03:00:00 AM,13.558,0.0,2.87,,,,,
352,08/19/17 09:00:00 AM,12.980,120.0,2.85,,,,,
353,08/19/17 03:00:00 PM,21.091,400.0,2.89,,,,,
354,08/19/17 09:00:00 PM,14.996,0.0,2.87,,,,,
355,08/20/17 03:00:00 AM,12.304,0.0,2.85,,,,,
356,08/20/17 09:00:00 AM,13.076,125.0,2.85,,,,,
357,08/20/17 03:00:00 PM,22.429,368.0,2.89,,,,,
358,08/20/17 09:00:00 PM,16.237,0.0,2.87,,,,,
359,08/21/17 03:00:00 AM,15.282,0.0,2.85,,,,,
360,08/21/17 09:00:00 AM,17.760,38.0,2.87,,,,,
361,08/21/17 03:00:00 PM,25.319,352.0,2.89,,,,,
362,08/21/17 09:00:00 PM,19.092,0.0,2.89,,,,,
363,08/22/17 03:00:00 AM,16.427,0.0,2.87,,,,,
364,08/22/17 09:00:00 AM,17.950,176.0,2.89,,,,,
365,08/22/17 03:00:00 PM,23.677,384.0,2.91,,,,,
366,08/22/17 09:00:00 PM,17.189,0.0,2.89,,,,,
367,08/23/17 03:00:00 AM,16.141,0.0,2.87,,,,,
368,08/23/17 09:00:00 AM,17.284,184.0,2.87,,,,,
369,08/23/17 03:00:00 PM,21.569,240.0,2.89,,,,,
370,08/23/17 09:00:00 PM,15.760,0.0,2.87,,,,,
371,08/24/17 03:00:00 AM,13.558,0.0,2.87,,,,,
372,08/24/17 09:00:00 AM,14.230,224.0,2.87,,,,,
373,08/24/17 03:00:00 PM,18.616,800.0,2.89,,,,,
374,08/24/17 09:00:00 PM,12.497,0.0,2.85,,,,,
375,08/25/17 03:00:00 AM,10.748,0.0,2.85,,,,,
376,08/25/17 09:00:00 AM,11.334,118.0,2.85,,,,,
377,08/25/17 03:00:00 PM,21.951,704.0,2.89,,,,,
378,08/25/17 09:00:00 PM,15.569,0.0,2.87,,,,,
379,08/26/17 03:00:00 AM,14.804,0.0,2.87,,,,,
380,08/26/17 09:00:00 AM,16.903,127.0,2.87,,,,,
381,08/26/17 03:00:00 PM,26.488,608.0,2.91,,,,,
382,08/26/17 09:00:00 PM,19.948,0.0,2.89,,,,,
383,08/27/17 03:00:00 AM,19.472,0.0,2.91,,,,,
384,08/27/17 09:00:00 AM,21.855,128.0,2.89,,,,,
385,08/27/17 03:00:00 PM,28.754,368.0,2.93,,,,,
386,08/27/17 09:00:00 PM,22.621,0.0,2.91,,,,,
387,08/28/17 03:00:00 AM,21.187,0.0,2.91,,,,,
388,08/28/17 09:00:00 AM,22.525,144.0,2.91,,,,,
389,08/28/17 03:00:00 PM,29.252,368.0,2.93,,,,,
390,08/28/17 09:00:00 PM,22.333,0.0,2.91,,,,,
391,08/29/17 03:00:00 AM,20.615,0.0,2.91,,,,,
