"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Bad Battery","Coupler Attached","Stopped","End Of File"
246,09/29/17 03:00:00 AM,10.259,0.0,,,,
247,09/29/17 09:00:00 AM,10.357,136.0,,,,
248,09/29/17 03:00:00 PM,12.883,384.0,,,,
249,09/29/17 09:00:00 PM,8.978,0.0,,,,
250,09/30/17 03:00:00 AM,5.757,0.0,,,,
251,09/30/17 09:00:00 AM,5.757,160.0,,,,
252,09/30/17 03:00:00 PM,7.682,352.0,,,,
253,09/30/17 09:00:00 PM,5.141,0.0,,,,
254,10/01/17 03:00:00 AM,4.831,0.0,,,,
255,10/01/17 09:00:00 AM,4.934,304.0,,,,
256,10/01/17 03:00:00 PM,8.082,576.0,,,,
257,10/01/17 09:00:00 PM,4.831,0.0,,,,
258,10/02/17 03:00:00 AM,2.730,0.0,,,,
259,10/02/17 09:00:00 AM,2.410,124.0,,,,
260,10/02/17 03:00:00 PM,6.370,232.0,,,,
261,10/02/17 09:00:00 PM,2.624,0.0,,,,
262,10/03/17 03:00:00 AM,1.980,0.0,,,,
263,10/03/17 09:00:00 AM,2.517,352.0,,,,
264,10/03/17 03:00:00 PM,4.519,105.0,,,,
265,10/03/17 09:00:00 PM,2.303,0.0,,,,
266,10/04/17 03:00:00 AM,1.764,0.0,,,,
267,10/04/17 09:00:00 AM,3.261,96.0,,,,
268,10/04/17 03:00:00 PM,7.882,107.0,,,,
269,10/04/17 09:00:00 PM,5.552,0.0,,,,
270,10/05/17 03:00:00 AM,4.519,0.0,,,,
271,10/05/17 09:00:00 AM,5.141,89.0,,,,
272,10/05/17 03:00:00 PM,9.077,103.0,,,,
273,10/05/17 09:00:00 PM,6.674,0.0,,,,
274,10/06/17 03:00:00 AM,5.962,0.0,,,,
275,10/06/17 09:00:00 AM,6.268,77.0,,,,
276,10/06/17 03:00:00 PM,9.275,101.0,,,,
277,10/06/17 09:00:00 PM,7.381,0.0,,,,
278,10/07/17 03:00:00 AM,5.244,0.0,,,,
279,10/07/17 09:00:00 AM,5.141,57.0,,,,
280,10/07/17 03:00:00 PM,6.064,101.0,,,,
281,10/07/17 09:00:00 PM,4.415,0.0,,,,
282,10/08/17 03:00:00 AM,3.261,0.0,,,,
283,10/08/17 09:00:00 AM,3.367,192.0,,,,
284,10/08/17 03:00:00 PM,6.166,125.0,,,,
285,10/08/17 09:00:00 PM,2.730,0.0,,,,
286,10/09/17 03:00:00 AM,1.764,0.0,,,,
287,10/09/17 09:00:00 AM,2.195,120.0,,,,
288,10/09/17 03:00:00 PM,6.775,152.0,,,,
289,10/09/17 09:00:00 PM,5.037,0.0,,,,
290,10/10/17 03:00:00 AM,4.623,0.0,,,,
291,10/10/17 09:00:00 AM,3.788,123.0,,,,
292,10/10/17 03:00:00 PM,6.573,352.0,,,,
293,10/10/17 09:00:00 PM,2.088,0.0,,,,
294,10/11/17 03:00:00 AM,1.221,0.0,,,,
295,10/11/17 09:00:00 AM,1.330,92.0,,,,
296,10/11/17 03:00:00 PM,1.764,168.0,,,,
297,10/11/17 09:00:00 PM,0.563,0.0,,,,
298,10/12/17 03:00:00 AM,0.563,0.0,,,,
299,10/12/17 09:00:00 AM,0.453,52.0,,,,
300,10/12/17 03:00:00 PM,0.343,152.0,,,,
301,10/12/17 09:00:00 PM,0.232,0.0,,,,
302,10/13/17 03:00:00 AM,0.232,0.0,,,,
303,10/13/17 09:00:00 AM,0.232,0.0,,,,
304,10/13/17 03:00:00 PM,0.232,0.0,,,,
305,10/13/17 09:00:00 PM,0.232,0.0,,,,
306,10/14/17 03:00:00 AM,0.232,0.0,,,,
307,10/14/17 09:00:00 AM,0.232,0.0,,,,
308,10/14/17 03:00:00 PM,0.232,0.0,,,,
309,10/14/17 09:00:00 PM,0.232,0.0,,,,
310,10/15/17 03:00:00 AM,0.232,0.0,,,,
311,10/15/17 09:00:00 AM,0.232,0.0,,,,
312,10/15/17 03:00:00 PM,0.343,0.0,,,,
313,10/15/17 09:00:00 PM,0.232,0.0,,,,
